# Data from Open Admin Data (https://openadmindata.org/bs/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/bahamas-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.district,children_count.locality,zip_codes,geo.lat,geo.lon,source_url
BS.NN,1,District,District,North Andros,North Andros,north-andros-bs-nn,BS.NN,,,,,,22,,24.798,-78.049,https://openadmindata.org/bs/districts/north-andros-bs-nn/
BS.NW,1,District,District,New Providence,New Providence,new-providence-bs-nw,BS.NW,,,,,,31,,25.04,-77.395,https://openadmindata.org/bs/districts/new-providence-bs-nw/
BS.RC,1,District,District,Rum Cay,Rum Cay,rum-cay-bs-rc,BS.RC,,,,,,4,,23.687,-74.846,https://openadmindata.org/bs/districts/rum-cay-bs-rc/
BS.RI,1,District,District,Ragged Island,Ragged Island,ragged-island-bs-ri,BS.RI,,,,,,1,,22.188,-75.729,https://openadmindata.org/bs/districts/ragged-island-bs-ri/
BS.SB,1,District,District,South Abaco,South Abaco,south-abaco-bs-sb,BS.SB,,,,,,4,,26.034,-77.258,https://openadmindata.org/bs/districts/south-abaco-bs-sb/
BS.SE,1,District,District,South Eleuthera,South Eleuthera,south-eleuthera-bs-se,BS.SE,,,,,,14,,24.779,-76.21,https://openadmindata.org/bs/districts/south-eleuthera-bs-se/
BS.SN,1,District,District,South Andros,South Andros,south-andros-bs-sn,BS.SN,,,,,,10,,23.968,-77.667,https://openadmindata.org/bs/districts/south-andros-bs-sn/
BS.SS,1,District,District,San Salvador,San Salvador,san-salvador-bs-ss,BS.SS,,,,,,24,,24.067,-74.482,https://openadmindata.org/bs/districts/san-salvador-bs-ss/
BS.SW,1,District,District,Spanish Wells,Spanish Wells,spanish-wells-bs-sw,BS.SW,,,,,,1,,25.524,-76.83,https://openadmindata.org/bs/districts/spanish-wells-bs-sw/
BS.WB,1,District,District,West Grand Bahama,West Grand Bahama,west-grand-bahama-bs-wb,BS.WB,,,,,,12,,26.635,-78.511,https://openadmindata.org/bs/districts/west-grand-bahama-bs-wb/
